classic_false_reassurance_mean,engine_false_reassurance_mean,denom_only_false_reassurance_mean,coverage_engine_mean,convergence_mean_abs_diff,n_replications,topic_id,label
0.0,0.0,0.15,1.0,0.030343075889802715,50,T01,Clean Control
0.0,0.0,0.21499999999999997,1.0,0.06163035880008131,50,T02,Moderate Publication Bias
0.0,0.006666666666666666,0.13166666666666665,1.0,0.06519015059854162,50,T03,High Publication Bias
0.0016666666666666666,0.015,0.33666666666666667,1.0,0.03762993446831855,50,T04,Endpoint-Selective Reporting
0.0,0.005,0.3,1.0,0.05550541500234053,50,T05,Industry-Dominated
0.0,0.0,0.22666666666666668,1.0,0.10328281625518837,50,T06,Small Trials
0.003333333333333333,0.005,0.2816666666666666,1.0,0.06218811417217289,50,T07,High Heterogeneity
0.0,0.003333333333333333,0.145,1.0,0.038836156510217566,50,T08,Reversal Stress
0.003333333333333333,0.0016666666666666666,0.39,1.0,0.0509246627801502,50,T09,Discontinuous Truth
0.0016666666666666666,0.0016666666666666666,0.3066666666666667,1.0,0.03976572415060095,50,T10,Low Trial Count
0.0,0.0,0.026666666666666665,1.0,0.043929176087390796,50,T11,Strong Benefit Signal
0.0,0.0016666666666666666,0.37499999999999994,1.0,0.06013200666604948,50,T12,Near-Null Effect
